"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","216.58.202.138","TLSv1.2","140","Application Data"
"2","0.000079","192.168.1.2","216.58.202.138","TLSv1.2","93","Application Data"
"3","0.000111","192.168.1.2","216.58.202.138","TLSv1.2","201","Application Data"
"4","0.071816","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=1 Ack=87 Win=275 Len=0"
"5","0.072334","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=1 Ack=126 Win=275 Len=0"
"6","0.072334","216.58.202.138","192.168.1.2","TLSv1.2","93","Application Data"
"7","0.112645","192.168.1.2","216.58.202.138","TCP","54","61682  >  443 [ACK] Seq=273 Ack=40 Win=508 Len=0"
"8","0.145659","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=40 Ack=273 Win=280 Len=0"
"9","0.892951","192.168.1.2","216.58.202.138","TLSv1.2","89","Application Data"
"10","0.964743","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=40 Ack=308 Win=280 Len=0"
"11","1.858853","192.168.1.2","172.217.28.238","UDP","1259","56960  >  443 Len=1217"
"12","1.865220","192.168.1.2","172.217.28.238","UDP","597","56960  >  443 Len=555"
"13","1.865794","192.168.1.2","172.217.28.238","UDP","478","56960  >  443 Len=436"
"14","1.867379","192.168.1.2","172.217.28.238","UDP","267","56960  >  443 Len=225"
"15","1.871414","192.168.1.2","192.168.1.1","DNS","80","Standard query 0x9460 A fonts.googleapis.com"
"16","1.872499","192.168.1.2","172.217.162.99","UDP","1392","62659  >  443 Len=1350"
"17","1.873157","192.168.1.2","192.168.1.1","DNS","74","Standard query 0xe2d4 A www.google.com"
"18","1.873158","192.168.1.2","192.168.1.1","DNS","73","Standard query 0x426d A yt3.ggpht.com"
"19","1.886755","192.168.1.1","192.168.1.2","DNS","380","Standard query response 0x9460 A fonts.googleapis.com CNAME googleadapis.l.google.com A 172.217.28.10 NS ns1.google.com NS ns3.google.com NS ns2.google.com NS ns4.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"20","1.890169","192.168.1.2","172.217.28.10","UDP","1392","54775  >  443 Len=1350"
"21","1.892873","192.168.1.1","192.168.1.2","DNS","338","Standard query response 0xe2d4 A www.google.com A 172.217.30.100 NS ns2.google.com NS ns4.google.com NS ns1.google.com NS ns3.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"22","1.892875","192.168.1.1","192.168.1.2","DNS","389","Standard query response 0x426d A yt3.ggpht.com CNAME photos-ugc.l.googleusercontent.com A 172.217.172.193 NS ns1.google.com NS ns3.google.com NS ns2.google.com NS ns4.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"23","1.894210","192.168.1.2","172.217.30.98","UDP","1392","54776  >  443 Len=1350"
"24","1.895674","192.168.1.2","192.168.1.1","DNS","83","Standard query 0xb170 A adservice.google.com.br"
"25","1.897929","192.168.1.2","172.217.172.193","UDP","1392","54777  >  443 Len=1350"
"26","1.899332","192.168.1.2","192.168.1.1","DNS","80","Standard query 0xc548 A adservice.google.com"
"27","1.902129","192.168.1.2","172.217.30.98","UDP","1392","54776  >  443 Len=1350"
"28","1.902233","192.168.1.2","172.217.30.98","UDP","1083","54776  >  443 Len=1041"
"29","1.903792","192.168.1.2","192.168.1.1","DNS","75","Standard query 0x5f68 A www.gstatic.com"
"30","1.910773","192.168.1.1","192.168.1.2","DNS","397","Standard query response 0xb170 A adservice.google.com.br CNAME pagead46.l.doubleclick.net A 172.217.30.98 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"31","1.912640","192.168.1.2","172.217.30.98","UDP","1392","65022  >  443 Len=1350"
"32","1.913416","192.168.1.2","192.168.1.1","DNS","71","Standard query 0xae9f A s.ytimg.com"
"33","1.914438","192.168.1.1","192.168.1.2","DNS","384","Standard query response 0xc548 A adservice.google.com CNAME pagead46.l.doubleclick.net A 172.217.30.98 NS ns3.google.com NS ns4.google.com NS ns2.google.com NS ns1.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"34","1.915495","192.168.1.2","192.168.1.1","DNS","82","Standard query 0xaed2 A static.doubleclick.net"
"35","1.918856","192.168.1.1","192.168.1.2","DNS","346","Standard query response 0x5f68 A www.gstatic.com A 172.217.29.3 NS ns2.google.com NS ns1.google.com NS ns3.google.com NS ns4.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"36","1.920314","192.168.1.2","192.168.1.1","DNS","85","Standard query 0xca42 A www.googletagservices.com"
"37","1.928475","192.168.1.1","192.168.1.2","DNS","367","Standard query response 0xae9f A s.ytimg.com CNAME ytstatic.l.google.com A 172.217.162.110 NS ns4.google.com NS ns1.google.com NS ns3.google.com NS ns2.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"38","1.929993","192.168.1.2","192.168.1.1","DNS","89","Standard query 0xe9af A pagead2.googlesyndication.com"
"39","1.930100","192.168.1.1","192.168.1.2","DNS","395","Standard query response 0xaed2 A static.doubleclick.net CNAME static-doubleclick-net.l.google.com A 172.217.29.230 NS ns3.google.com NS ns4.google.com NS ns1.google.com NS ns2.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"40","1.931427","192.168.1.2","172.217.29.230","UDP","1392","58955  >  443 Len=1350"
"41","1.935382","192.168.1.1","192.168.1.2","DNS","396","Standard query response 0xca42 A www.googletagservices.com CNAME pagead46.l.doubleclick.net A 172.217.30.98 NS ns4.google.com NS ns1.google.com NS ns2.google.com NS ns3.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"42","1.947742","192.168.1.1","192.168.1.2","DNS","400","Standard query response 0xe9af A pagead2.googlesyndication.com CNAME pagead46.l.doubleclick.net A 172.217.30.98 NS ns4.google.com NS ns3.google.com NS ns1.google.com NS ns2.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"43","1.953038","172.217.28.238","192.168.1.2","UDP","63","443  >  56960 Len=21"
"44","1.972911","172.217.162.99","192.168.1.2","UDP","78","443  >  62659 Len=36"
"45","1.985409","172.217.28.238","192.168.1.2","UDP","347","443  >  56960 Len=305"
"46","1.985989","172.217.28.238","192.168.1.2","UDP","199","443  >  56960 Len=157"
"47","1.986827","192.168.1.2","172.217.30.99","UDP","688","59834  >  443 Len=646"
"48","1.987027","192.168.1.2","172.217.30.99","UDP","424","59834  >  443 Len=382"
"49","1.989060","172.217.28.10","192.168.1.2","UDP","78","443  >  54775 Len=36"
"50","1.991542","172.217.162.99","192.168.1.2","UDP","1392","443  >  62659 Len=1350"
"51","1.991633","172.217.162.99","192.168.1.2","UDP","73","443  >  62659 Len=31"
"52","1.991861","192.168.1.2","172.217.162.99","UDP","89","62659  >  443 Len=47"
"53","1.993614","172.217.30.98","192.168.1.2","UDP","78","443  >  54776 Len=36"
"54","1.995877","172.217.172.193","192.168.1.2","UDP","78","443  >  54777 Len=36"
"55","2.004918","192.168.1.2","172.217.28.238","UDP","70","56960  >  443 Len=28"
"56","2.009083","172.217.28.10","192.168.1.2","UDP","1392","443  >  54775 Len=1350"
"57","2.009084","172.217.28.10","192.168.1.2","UDP","73","443  >  54775 Len=31"
"58","2.009422","192.168.1.2","172.217.28.10","UDP","89","54775  >  443 Len=47"
"59","2.011839","172.217.30.98","192.168.1.2","UDP","78","443  >  65022 Len=36"
"60","2.014091","172.217.30.98","192.168.1.2","UDP","1392","443  >  54776 Len=1350"
"61","2.014093","172.217.30.98","192.168.1.2","UDP","73","443  >  54776 Len=31"
"62","2.014093","172.217.30.98","192.168.1.2","UDP","62","443  >  54776 Len=20"
"63","2.014470","192.168.1.2","172.217.30.98","UDP","91","54776  >  443 Len=49"
"64","2.017074","172.217.172.193","192.168.1.2","UDP","1392","443  >  54777 Len=1350"
"65","2.017075","172.217.172.193","192.168.1.2","UDP","73","443  >  54777 Len=31"
"66","2.017419","192.168.1.2","172.217.172.193","UDP","89","54777  >  443 Len=47"
"67","2.017530","192.168.1.2","172.217.162.99","UDP","70","62659  >  443 Len=28"
"68","2.024909","172.217.29.230","192.168.1.2","UDP","78","443  >  58955 Len=36"
"69","2.030958","172.217.30.98","192.168.1.2","UDP","1392","443  >  65022 Len=1350"
"70","2.030960","172.217.30.98","192.168.1.2","UDP","73","443  >  65022 Len=31"
"71","2.031401","192.168.1.2","172.217.30.98","UDP","89","65022  >  443 Len=47"
"72","2.035343","192.168.1.2","172.217.28.10","UDP","70","54775  >  443 Len=28"
"73","2.040515","192.168.1.2","172.217.30.98","UDP","70","54776  >  443 Len=28"
"74","2.043661","192.168.1.2","172.217.172.193","UDP","70","54777  >  443 Len=28"
"75","2.044321","172.217.28.238","192.168.1.2","UDP","96","443  >  56960 Len=54"
"76","2.045555","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"77","2.045556","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"78","2.045557","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"79","2.045557","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"80","2.045558","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"81","2.045558","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"82","2.045559","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"83","2.045559","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"84","2.045730","172.217.29.230","192.168.1.2","UDP","1392","443  >  58955 Len=1350"
"85","2.045731","172.217.29.230","192.168.1.2","UDP","73","443  >  58955 Len=31"
"86","2.046075","192.168.1.2","172.217.29.230","UDP","89","58955  >  443 Len=47"
"87","2.047902","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"88","2.047903","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"89","2.048059","192.168.1.2","172.217.28.238","UDP","70","56960  >  443 Len=28"
"90","2.050154","172.217.28.238","192.168.1.2","UDP","519","443  >  56960 Len=477"
"91","2.052049","172.217.28.238","192.168.1.2","UDP","204","443  >  56960 Len=162"
"92","2.057480","192.168.1.2","172.217.30.98","UDP","70","65022  >  443 Len=28"
"93","2.059698","172.217.30.99","192.168.1.2","UDP","62","443  >  59834 Len=20"
"94","2.064392","192.168.1.2","172.217.172.150","UDP","1392","58956  >  443 Len=1350"
"95","2.064719","192.168.1.2","172.217.172.150","UDP","397","58956  >  443 Len=355"
"96","2.067043","192.168.1.2","172.217.28.238","UDP","70","56960  >  443 Len=28"
"97","2.069184","192.168.1.2","187.19.145.48","UDP","1392","58957  >  443 Len=1350"
"98","2.070116","192.168.1.2","187.19.145.48","UDP","422","58957  >  443 Len=380"
"99","2.070255","192.168.1.2","187.19.145.48","UDP","117","58957  >  443 Len=75"
"100","2.071814","192.168.1.2","172.217.29.230","UDP","70","58955  >  443 Len=28"
"101","2.073422","172.217.28.238","192.168.1.2","UDP","131","443  >  56960 Len=89"
"102","2.076225","172.217.28.238","192.168.1.2","UDP","60","443  >  56960 Len=17"
"103","2.086388","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
"104","2.087216","192.168.1.2","187.19.145.48","UDP","1392","58957  >  443 Len=1350"
"105","2.087297","192.168.1.2","187.19.145.48","UDP","463","58957  >  443 Len=421"
"106","2.087848","172.217.162.99","192.168.1.2","UDP","62","443  >  62659 Len=20"
"107","2.090984","192.168.1.2","172.217.162.99","UDP","1392","58958  >  443 Len=1350"
"108","2.093440","192.168.1.2","172.217.28.238","UDP","70","56960  >  443 Len=28"
"109","2.104462","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
"110","2.104780","187.19.145.48","192.168.1.2","UDP","65","443  >  58957 Len=23"
"111","2.104780","172.217.28.10","192.168.1.2","UDP","62","443  >  54775 Len=20"
"112","2.104846","192.168.1.2","187.19.145.48","UDP","89","58957  >  443 Len=47"
"113","2.106266","187.19.145.48","192.168.1.2","UDP","86","443  >  58957 Len=44"
"114","2.112812","172.217.172.193","192.168.1.2","UDP","62","443  >  54777 Len=20"
"115","2.113747","172.217.30.98","192.168.1.2","UDP","62","443  >  54776 Len=20"
"116","2.131830","172.217.30.98","192.168.1.2","UDP","62","443  >  65022 Len=20"
"117","2.132075","192.168.1.2","187.19.145.48","UDP","70","58957  >  443 Len=28"
"118","2.137979","172.217.29.230","192.168.1.2","UDP","62","443  >  58955 Len=20"
"119","2.146959","187.19.145.48","192.168.1.2","UDP","62","443  >  58957 Len=20"
"120","2.161008","172.217.172.150","192.168.1.2","UDP","78","443  >  58956 Len=36"
"121","2.180499","172.217.30.99","192.168.1.2","UDP","102","443  >  59834 Len=60"
"122","2.180753","172.217.30.99","192.168.1.2","UDP","79","443  >  59834 Len=37"
"123","2.180977","192.168.1.2","172.217.30.99","UDP","70","59834  >  443 Len=28"
"124","2.182178","172.217.172.150","192.168.1.2","UDP","1392","443  >  58956 Len=1350"
"125","2.182178","172.217.172.150","192.168.1.2","UDP","73","443  >  58956 Len=31"
"126","2.182178","172.217.172.150","192.168.1.2","UDP","140","443  >  58956 Len=98"
"127","2.182555","192.168.1.2","172.217.172.150","UDP","91","58956  >  443 Len=49"
"128","2.182667","192.168.1.2","172.217.172.150","UDP","70","58956  >  443 Len=28"
"129","2.183852","172.217.162.99","192.168.1.2","UDP","78","443  >  58958 Len=36"
"130","2.185757","172.217.30.99","192.168.1.2","UDP","60","443  >  59834 Len=16"
"131","2.185757","172.217.30.99","192.168.1.2","UDP","60","443  >  59834 Len=16"
"132","2.185900","192.168.1.2","172.217.30.99","UDP","70","59834  >  443 Len=28"
"133","2.202347","172.217.162.99","192.168.1.2","UDP","1392","443  >  58958 Len=1350"
"134","2.202348","172.217.162.99","192.168.1.2","UDP","73","443  >  58958 Len=31"
"135","2.202692","192.168.1.2","172.217.162.99","UDP","89","58958  >  443 Len=47"
"136","2.206879","172.217.172.150","192.168.1.2","UDP","62","443  >  58956 Len=20"
"137","2.229041","192.168.1.2","172.217.162.99","UDP","70","58958  >  443 Len=28"
"138","2.279219","172.217.172.150","192.168.1.2","UDP","62","443  >  58956 Len=20"
"139","2.296266","172.217.162.99","192.168.1.2","UDP","62","443  >  58958 Len=20"
"140","2.360506","172.217.30.98","192.168.1.2","UDP","459","443  >  54776 Len=417"
"141","2.362017","192.168.1.2","172.217.30.98","UDP","87","54776  >  443 Len=45"
"142","2.370392","172.217.30.98","192.168.1.2","UDP","60","443  >  54776 Len=18"
"143","2.397059","192.168.1.2","172.217.30.98","UDP","70","54776  >  443 Len=28"
"144","2.462195","172.217.30.98","192.168.1.2","UDP","62","443  >  54776 Len=20"
"145","2.494925","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"146","2.494925","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"147","2.494926","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"148","2.494926","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"149","2.494927","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"150","2.494927","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"151","2.494927","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"152","2.494928","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"153","2.494928","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"154","2.494929","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"155","2.494929","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"156","2.494929","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"157","2.494930","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"158","2.495280","192.168.1.2","172.217.28.238","UDP","70","56960  >  443 Len=28"
"159","2.498174","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"160","2.498174","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"161","2.500189","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"162","2.500190","172.217.28.238","192.168.1.2","UDP","1392","443  >  56960 Len=1350"
"163","2.502618","172.217.28.238","192.168.1.2","UDP","676","443  >  56960 Len=634"
"164","2.514057","192.168.1.2","172.217.28.238","UDP","70","56960  >  443 Len=28"
"165","2.540284","192.168.1.2","172.217.28.238","UDP","696","56960  >  443 Len=654"
"166","2.542294","192.168.1.2","187.19.145.48","UDP","846","58957  >  443 Len=804"
"167","2.543253","192.168.1.2","187.19.145.48","UDP","738","58957  >  443 Len=696"
"168","2.558479","192.168.1.2","172.217.30.98","UDP","411","54776  >  443 Len=369"
"169","2.562574","187.19.145.48","192.168.1.2","UDP","62","443  >  58957 Len=20"
"170","2.562575","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
"171","2.562576","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
"172","2.562577","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
"173","2.562577","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
"174","2.562577","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
"175","2.562577","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
"176","2.562578","187.19.145.48","192.168.1.2","UDP","1392","443  >  58957 Len=1350"
