"No.","Time","Source","Destination","Protocol","Length","Info"
"1843","5.096812","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1844","5.096814","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1845","5.096814","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1846","5.096815","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1847","5.096815","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1848","5.096815","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1849","5.096816","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1850","5.096816","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1851","5.096817","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1852","5.096818","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1853","5.096819","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1854","5.096819","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1855","5.096820","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1856","5.096821","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1857","5.097134","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1858","5.101628","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1859","5.102019","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1860","5.102023","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1861","5.102035","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1862","5.102038","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1863","5.102042","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1864","5.102045","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1865","5.102048","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1866","5.102052","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1867","5.102057","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1868","5.102060","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1869","5.102063","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1870","5.102066","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1871","5.102069","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1872","5.102072","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1873","5.102075","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1874","5.103618","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1875","5.103937","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1876","5.103938","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1877","5.103943","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1878","5.103950","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1879","5.103958","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1880","5.103964","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1881","5.103970","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1882","5.103974","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1883","5.103978","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1884","5.103983","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1885","5.103987","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1886","5.103989","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1887","5.103990","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1888","5.103991","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1889","5.103992","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
