"No.","Time","Source","Destination","Protocol","Length","Info"
"16814","16.026674","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16815","16.026675","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16816","16.026675","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16817","16.026675","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16818","16.026676","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16819","16.026676","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16820","16.026854","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16821","16.028127","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16822","16.028127","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16823","16.028128","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16824","16.028129","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16825","16.028129","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16826","16.028129","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16827","16.028130","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16828","16.028130","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16829","16.028130","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16830","16.028131","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16831","16.028131","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16832","16.028413","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16833","16.029000","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16834","16.029000","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16835","16.029001","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16836","16.029001","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16837","16.029001","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16838","16.029002","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16839","16.029002","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16840","16.029002","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16841","16.029003","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16842","16.029003","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16843","16.029004","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16844","16.029179","192.168.1.2","187.19.145.48","UDP","82","52409  >  443 Len=40"
"16845","16.029680","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16846","16.029681","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16847","16.029681","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16848","16.029682","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16849","16.029682","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16850","16.029682","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16851","16.029683","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16852","16.029683","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
