"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","157.240.12.53","TLSv1.2","84","Application Data"
"2","0.008470","192.168.1.2","216.58.202.138","TLSv1.2","140","Application Data"
"3","0.008560","192.168.1.2","216.58.202.138","TLSv1.2","201","Application Data"
"4","0.078467","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=1 Ack=87 Win=252 Len=0"
"5","0.079311","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=1 Ack=234 Win=256 Len=0"
"6","0.407253","192.168.1.2","192.168.1.1","DNS","75","Standard query 0xa417 A www.youtube.com"
"7","0.424176","192.168.1.1","192.168.1.2","DNS","541","Standard query response 0xa417 A www.youtube.com CNAME youtube-ui.l.google.com A 172.217.30.110 A 172.217.162.110 A 216.58.202.14 A 172.217.30.78 A 172.217.172.142 A 216.58.202.174 A 172.217.29.14 A 172.217.29.238 A 216.58.202.206 A 172.217.30.46 A 172.217.28.14 A 172.217.28.142 A 172.217.29.142 A 172.217.28.238 A 216.58.202.142 A 172.217.172.206 NS ns2.google.com NS ns1.google.com NS ns3.google.com NS ns4.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10"
"8","0.425033","192.168.1.2","172.217.28.238","UDP","1391","56960  >  443 Len=1349"
"9","0.425098","192.168.1.2","172.217.28.238","UDP","566","56960  >  443 Len=524"
"10","0.502736","172.217.28.238","192.168.1.2","UDP","62","443  >  56960 Len=20"
"11","0.556211","192.168.1.2","216.58.202.138","TLSv1.2","89","Application Data"
"12","0.556871","172.217.28.238","192.168.1.2","UDP","431","443  >  56960 Len=389"
"13","0.556871","172.217.28.238","192.168.1.2","UDP","152","443  >  56960 Len=110"
"14","0.557079","192.168.1.2","172.217.28.238","UDP","70","56960  >  443 Len=28"
"15","0.627875","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=1 Ack=269 Win=256 Len=0"
"16","0.984671","52.242.211.89","192.168.1.2","TCP","54","443  >  63872 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","1.406575","192.168.1.2","192.168.1.1","DNS","79","Standard query 0xdf02 A clients4.google.com"
"18","1.424134","192.168.1.1","192.168.1.2","DNS","367","Standard query response 0xdf02 A clients4.google.com CNAME clients.l.google.com A 172.217.28.238 NS ns1.google.com NS ns2.google.com NS ns3.google.com NS ns4.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"19","1.424832","192.168.1.2","172.217.28.238","UDP","1392","63571  >  443 Len=1350"
"20","1.521137","172.217.28.238","192.168.1.2","UDP","78","443  >  63571 Len=36"
"21","1.539353","172.217.28.238","192.168.1.2","UDP","1392","443  >  63571 Len=1350"
"22","1.539354","172.217.28.238","192.168.1.2","UDP","1392","443  >  63571 Len=1350"
"23","1.540166","192.168.1.2","172.217.28.238","UDP","78","63571  >  443 Len=36"
"24","1.541669","192.168.1.2","172.217.28.238","UDP","1392","63571  >  443 Len=1350"
"25","1.638120","172.217.28.238","192.168.1.2","UDP","78","443  >  63571 Len=36"
"26","1.661423","172.217.28.238","192.168.1.2","UDP","1392","443  >  63571 Len=1350"
"27","1.661425","172.217.28.238","192.168.1.2","UDP","73","443  >  63571 Len=31"
"28","1.662406","192.168.1.2","172.217.28.238","UDP","89","63571  >  443 Len=47"
"29","1.662845","192.168.1.2","172.217.28.238","UDP","1392","63571  >  443 Len=1350"
"30","1.663003","192.168.1.2","172.217.28.238","UDP","280","63571  >  443 Len=238"
"31","1.712050","192.168.1.2","216.58.202.138","TLSv1.2","140","Application Data"
"32","1.712154","192.168.1.2","216.58.202.138","TLSv1.2","201","Application Data"
"33","1.734158","172.217.28.238","192.168.1.2","UDP","62","443  >  63571 Len=20"
"34","1.784311","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=1 Ack=355 Win=256 Len=0"
"35","1.784311","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=1 Ack=502 Win=261 Len=0"
"36","1.906965","172.217.28.238","192.168.1.2","UDP","372","443  >  63571 Len=330"
"37","1.907733","172.217.28.238","192.168.1.2","UDP","447","443  >  63571 Len=405"
"38","1.907851","192.168.1.2","172.217.28.238","UDP","70","63571  >  443 Len=28"
"39","1.908572","172.217.28.238","192.168.1.2","UDP","70","443  >  63571 Len=28"
"40","1.908572","172.217.28.238","192.168.1.2","UDP","232","443  >  63571 Len=190"
"41","1.908717","192.168.1.2","172.217.28.238","UDP","70","63571  >  443 Len=28"
"42","1.909307","192.168.1.2","172.217.30.99","UDP","426","52235  >  443 Len=384"
"43","2.006585","172.217.30.99","192.168.1.2","UDP","62","443  >  52235 Len=20"
"44","2.101001","172.217.30.99","192.168.1.2","UDP","102","443  >  52235 Len=60"
"45","2.105589","172.217.30.99","192.168.1.2","UDP","60","443  >  52235 Len=16"
"46","2.105787","192.168.1.2","172.217.30.99","UDP","70","52235  >  443 Len=28"
"47","2.531602","192.168.1.2","216.58.202.138","TLSv1.2","89","Application Data"
"48","2.602280","216.58.202.138","192.168.1.2","TCP","60","443  >  61682 [ACK] Seq=1 Ack=537 Win=261 Len=0"
"49","2.945018","192.168.1.2","172.217.28.238","UDP","1257","56960  >  443 Len=1215"
"50","2.949132","192.168.1.2","172.217.28.238","UDP","707","56960  >  443 Len=665"
"51","2.949683","192.168.1.2","172.217.28.238","UDP","481","56960  >  443 Len=439"
"52","2.951152","192.168.1.2","192.168.1.1","DNS","77","Standard query 0x548d A fonts.gstatic.com"
"53","2.951597","192.168.1.2","172.217.28.238","UDP","267","56960  >  443 Len=225"
"54","2.952778","192.168.1.2","172.217.28.10","UDP","1392","54141  >  443 Len=1350"
"55","2.953457","192.168.1.2","192.168.1.1","DNS","77","Standard query 0xdc64 A www.google.com.br"
"56","2.954165","192.168.1.2","192.168.1.1","DNS","71","Standard query 0x4246 A i.ytimg.com"
"57","2.966542","192.168.1.1","192.168.1.2","DNS","377","Standard query response 0x548d A fonts.gstatic.com CNAME gstaticadssl.l.google.com A 172.217.162.99 NS ns3.google.com NS ns2.google.com NS ns4.google.com NS ns1.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"58","2.969343","192.168.1.2","172.217.162.99","UDP","1392","54948  >  443 Len=1350"
