"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","13.107.246.254","192.168.1.2","TCP","54","443  >  64389 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2","0.013841","204.79.197.222","192.168.1.2","TCP","54","443  >  64391 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.104721","192.168.1.3","224.0.0.251","MDNS","103","Standard query 0x03dc PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"4","0.104721","192.168.1.3","224.0.0.251","MDNS","103","Standard query 0x03dc PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"5","1.400955","192.168.1.2","192.168.1.1","DNS","79","Standard query 0xd130 A clients1.google.com"
"6","1.416761","192.168.1.1","192.168.1.2","DNS","367","Standard query response 0xd130 A clients1.google.com CNAME clients.l.google.com A 172.217.28.238 NS ns3.google.com NS ns1.google.com NS ns2.google.com NS ns4.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"7","1.418334","192.168.1.2","172.217.28.238","UDP","1392","54712  >  443 Len=1350"
"8","1.418557","192.168.1.2","172.217.28.238","UDP","981","54712  >  443 Len=939"
"9","1.516680","172.217.28.238","192.168.1.2","UDP","78","443  >  54712 Len=36"
"10","1.537741","172.217.28.238","192.168.1.2","UDP","1392","443  >  54712 Len=1350"
"11","1.537742","172.217.28.238","192.168.1.2","UDP","73","443  >  54712 Len=31"
"12","1.537742","172.217.28.238","192.168.1.2","UDP","140","443  >  54712 Len=98"
"13","1.538060","192.168.1.2","172.217.28.238","UDP","91","54712  >  443 Len=49"
"14","1.538161","192.168.1.2","172.217.28.238","UDP","70","54712  >  443 Len=28"
"15","1.562695","172.217.28.238","192.168.1.2","UDP","62","443  >  54712 Len=20"
"16","1.633776","172.217.28.238","192.168.1.2","UDP","62","443  >  54712 Len=20"
"17","1.705255","192.168.1.2","172.217.29.234","TLSv1.2","140","Application Data"
"18","1.705371","192.168.1.2","172.217.29.234","TLSv1.2","93","Application Data"
"19","1.705418","192.168.1.2","172.217.29.234","TLSv1.2","201","Application Data"
"20","1.775860","172.217.29.234","192.168.1.2","TCP","60","443  >  61228 [ACK] Seq=1 Ack=87 Win=266 Len=0"
"21","1.775861","172.217.29.234","192.168.1.2","TCP","60","443  >  61228 [ACK] Seq=1 Ack=126 Win=266 Len=0"
"22","1.775861","172.217.29.234","192.168.1.2","TCP","60","443  >  61228 [ACK] Seq=1 Ack=273 Win=270 Len=0"
"23","1.775861","172.217.29.234","192.168.1.2","TLSv1.2","93","Application Data"
"24","1.816013","192.168.1.2","172.217.29.234","TCP","54","61228  >  443 [ACK] Seq=273 Ack=40 Win=508 Len=0"
"25","2.243516","192.168.1.2","172.217.29.234","TLSv1.2","89","Application Data"
"26","2.317584","172.217.29.234","192.168.1.2","TCP","60","443  >  61228 [ACK] Seq=40 Ack=308 Win=270 Len=0"
"27","2.623181","192.168.1.2","216.58.202.206","UDP","1392","56286  >  443 Len=1350"
"28","2.623413","192.168.1.2","216.58.202.206","UDP","785","56286  >  443 Len=743"
"29","2.629029","192.168.1.2","216.58.202.206","UDP","632","56286  >  443 Len=590"
"30","2.629580","192.168.1.2","216.58.202.206","UDP","568","56286  >  443 Len=526"
"31","2.630839","192.168.1.2","216.58.202.206","UDP","267","56286  >  443 Len=225"
"32","2.632001","192.168.1.2","172.217.28.226","UDP","1392","54714  >  443 Len=1350"
"33","2.633576","192.168.1.2","172.217.162.99","UDP","1392","54715  >  443 Len=1350"
"34","2.635246","192.168.1.2","172.217.28.10","UDP","1392","54716  >  443 Len=1350"
"35","2.636283","192.168.1.2","172.217.172.193","UDP","1392","54717  >  443 Len=1350"
"36","2.637834","192.168.1.2","172.217.30.98","UDP","1392","54718  >  443 Len=1350"
"37","2.640142","192.168.1.2","172.217.30.98","UDP","1392","54719  >  443 Len=1350"
"38","2.642205","192.168.1.2","172.217.29.230","UDP","1392","54720  >  443 Len=1350"
"39","2.663951","192.168.1.2","172.217.30.98","UDP","1392","54718  >  443 Len=1350"
"40","2.664058","192.168.1.2","172.217.30.98","UDP","1086","54718  >  443 Len=1044"
"41","2.707954","216.58.202.206","192.168.1.2","UDP","64","443  >  56286 Len=22"
"42","2.726882","172.217.162.99","192.168.1.2","UDP","78","443  >  54715 Len=36"
"43","2.729089","172.217.28.226","192.168.1.2","UDP","78","443  >  54714 Len=36"
"44","2.730752","172.217.172.193","192.168.1.2","UDP","78","443  >  54717 Len=36"
"45","2.735015","172.217.30.98","192.168.1.2","UDP","78","443  >  54718 Len=36"
"46","2.738091","172.217.28.10","192.168.1.2","UDP","78","443  >  54716 Len=36"
"47","2.742140","172.217.29.230","192.168.1.2","UDP","78","443  >  54720 Len=36"
"48","2.744310","172.217.30.98","192.168.1.2","UDP","78","443  >  54719 Len=36"
"49","2.745313","172.217.162.99","192.168.1.2","UDP","1392","443  >  54715 Len=1350"
"50","2.745316","172.217.162.99","192.168.1.2","UDP","73","443  >  54715 Len=31"
"51","2.745913","192.168.1.2","172.217.162.99","UDP","89","54715  >  443 Len=47"
"52","2.748451","216.58.202.206","192.168.1.2","UDP","105","443  >  56286 Len=63"
"53","2.748451","216.58.202.206","192.168.1.2","UDP","60","443  >  56286 Len=17"
"54","2.749029","172.217.172.193","192.168.1.2","UDP","1392","443  >  54717 Len=1350"
"55","2.749030","172.217.172.193","192.168.1.2","UDP","73","443  >  54717 Len=31"
"56","2.749030","172.217.28.226","192.168.1.2","UDP","1392","443  >  54714 Len=1350"
"57","2.749031","172.217.28.226","192.168.1.2","UDP","73","443  >  54714 Len=31"
"58","2.749815","192.168.1.2","172.217.28.226","UDP","89","54714  >  443 Len=47"
"59","2.750041","192.168.1.2","172.217.172.193","UDP","89","54717  >  443 Len=47"
"60","2.751198","216.58.202.206","192.168.1.2","UDP","288","443  >  56286 Len=246"
"61","2.751198","216.58.202.206","192.168.1.2","UDP","121","443  >  56286 Len=79"
"62","2.753090","172.217.30.98","192.168.1.2","UDP","1392","443  >  54718 Len=1350"
"63","2.753091","172.217.30.98","192.168.1.2","UDP","73","443  >  54718 Len=31"
"64","2.753397","192.168.1.2","172.217.30.98","UDP","91","54718  >  443 Len=49"
"65","2.753895","172.217.30.98","192.168.1.2","UDP","62","443  >  54718 Len=20"
"66","2.754449","172.217.28.10","192.168.1.2","UDP","1392","443  >  54716 Len=1350"
"67","2.754450","172.217.28.10","192.168.1.2","UDP","73","443  >  54716 Len=31"
"68","2.754698","192.168.1.2","172.217.28.10","UDP","89","54716  >  443 Len=47"
"69","2.761104","172.217.29.230","192.168.1.2","UDP","1392","443  >  54720 Len=1350"
"70","2.761104","172.217.29.230","192.168.1.2","UDP","73","443  >  54720 Len=31"
"71","2.761429","192.168.1.2","172.217.29.230","UDP","89","54720  >  443 Len=47"
"72","2.762345","172.217.30.98","192.168.1.2","UDP","1392","443  >  54719 Len=1350"
"73","2.762346","172.217.30.98","192.168.1.2","UDP","73","443  >  54719 Len=31"
"74","2.762664","192.168.1.2","172.217.30.98","UDP","89","54719  >  443 Len=47"
"75","2.766770","192.168.1.2","216.58.202.206","UDP","71","56286  >  443 Len=29"
"76","2.771973","192.168.1.2","172.217.162.99","UDP","70","54715  >  443 Len=28"
"77","2.775162","192.168.1.2","172.217.28.226","UDP","70","54714  >  443 Len=28"
"78","2.775239","192.168.1.2","172.217.172.193","UDP","70","54717  >  443 Len=28"
"79","2.779533","192.168.1.2","172.217.30.98","UDP","70","54718  >  443 Len=28"
"80","2.781361","192.168.1.2","172.217.28.10","UDP","70","54716  >  443 Len=28"
